HASIL STEMMING,Sentimen
oh inih toh imigran yaman namanyah sugianto kusuma alias aguan bos agung dayu bos pik investor ikn ituh toh baru tau gw savesaiddidu istandwithsaiddidu,Neutral
kirain ubah ikn milik,Negative
tiap mantan presiden sangon rumah gus dur mega sby jatah pusat jakarta jokowi dorong orang beli tanah tinggal ikn ia minta jatah tanah m rumah desa gajah kabupaten karanganyar jawa,Neutral
tanyarl kacau dikit bgt nungguin debat kaltim pdhl provinsi ikn mana nih sjw kata peduli rakyat pdhl kaltim apbd paling tinggi sekalimantan tp paling miskin stunting sekalimantan,Negative
baru kali punya sempat bincang panjang panglima jil tentang hukum adat lestari budaya dayak ikn pandang tentang nkri ada embelembel politik maupun agama fokus kepada lestari alam budaya,Neutral
kalian ada niat pindah ibkot baru ga ikn udah rsmi ada niat rantau sementara ikn,Neutral
gibran nyuruh pak mahfud googling investor asing ikn malah nemu nyata bapak gibran bahwa blm ada investor asing ikn debatcawapres,Negative
btw nanti kalo misal uji keluar ibu kota negara indonesia jawab dki jakarta ikn,Neutral
pantesan mulyono betah ikn,Negative
ada kerja proyek ikn sih kaya aesthetic lampulampu kalo foto pas malem boleh dong drop foto,Neutral
autonomous rail transit art ikn kembali china lt keretatanparel iknnusantara transportasiootonom,Neutral
ok lah ada berita bunyi gedung dpr ikn istana pres hangus bakar sambar petir ppn nyata batal sri mul dapat bisik gaib nada ancam,Negative
sender bpp kaltim bulan depan krna mw ikn ada yng sender tanya daerah sono,Neutral
jakarta udh ibu kota ya trs ikn jg blm bgt arti skrg blm ada ibu kota dong,Neutral
pekan lalu isu bu smi resign udah rame media ga dijelasin alas nyata krn ikn menkeu amp menpupr otw mundur hutang indo otw t ikn lanjut jangan penelitikajian ahli luar perintah org kabinet abai pak jokowi,Negative
aku lihat bangsa mana kagum ikn penasaran bgt,Neutral
investasi as ikn mulai masuk telah praboro menang kemarin tuduh antek cia anies beer,Negative
kenapa sih ikn harus ngumpulin influencer berangkat ya berangkat lah emang urus kerja kerjakerjakerja,Negative
temen gue kantor ngerjain project ikn akhir suka ngestory amp ngetwit lucu gue tanya lucu banget trauma nih ikn,Neutral
berangkat masalah alumnus departemen desain produk industri despro institut teknologi puluh nopember its inovasi desain kereta bandara hubung ikn kota ada sekitar,Neutral
tanyarl sender kepooo tau pandang mahasiswa ttg ikn dong pls buzzr pltk dni,Neutral
inovasi gagas i putu dewangga mahesa fokus desain eksterior interior kereta listrik sesuai karakteristik butuh ikn,Neutral
info bhw scr sama pimpin otorita ibu kota negara ikn undur diri krn takut masuk penjara shg kerja ikn skrg ambil alih kemepupr lihat sering muncul jelas ttg ikn adlh menteri pupr pimpunan ikn apakah info tsb benar,Neutral
alas tunda milu minta banyak pihak apakah sdh tanya slrh rakyat beban negara berat kenapa msh bangun ikn kereta api cepat dll ekonomi berat bikin berat utang roket msh pandemipilkada pandemi klean waras,Negative
bokap gw random bgt gw sholat trus pintu kamar gw gedor gedor gitu selesai sholat gw tanya kenapa bokap gw blg nih ada baju nyata baju ikn kek tbtb bgt beli baju ikn keluarga gw punya baju ikn jadi,Neutral
titip iknpsn titip sawitbatubaranikel titip uu ciptakerkpk titip anak,Neutral
ken cepet pindah ikn biar gk khawatir ada demo,Negative
au ngga ada bocil katrok pindah jakarta pindah ktp jakarta selatan anak jaksel woi bapak maksa anak orang pindah ikn anakanaknya maksain diri pindah jaksel saran kalo anak jaksel ngga usah pake barangbarang branded kamse,Negative
ikn ibu kota negara baru lahir ingin pribadi study dalam tuju nikmat oligarki bkn maslahat orang banyak bangun dana utang dana pihal tiga dukung para jilat kuasa bkn penting rakyat,Negative
ikn killingmyself,Negative
betul orang kurang waras mana suntik ide bangun ikn tengah segala puruk badai sulit hutang gunung pandemi akhir banjir naik bbm rupiah puruk heran juta orang kicep diam bengong longo semua patung,Negative
istana garuda ikn makin hari makin hijau amp keren,Positive
tanya nih min kemensetnegri bayar dana apbn atw dana pribadi joko widodo atw dana ikutdiajak diajakikut ikn biaya dana rakyat baca apbn gw sumpahin lama ikn mencret ya,Negative
cuaca kaltim emang ga bagus kemarin hujan tadi nonton upacara ikn mendung bet,Negative
tiga momen penting yaitu sambut ibu kota baru ibu kota nusantara ikn momen ganti presiden serta tuju indonesia emas mari wujud sama citacita luhur bangsa indonesia hutri ikn indonesiaemas itscampus itssurabaya,Positive
tebak gw ni nanti ikn dibatalin prabowo trus antem janji hibur nasional jamin pasti seru rame penuh drama biaya tinggi nanti bayarin makanya nikmat sekarang,Neutral
kalo hemat milu putar tolak ikn jakarta tetap ibukota negara,Negative
wisata ikn,Neutral
seperti ada bangke gajah sebentar busuk proyek ikn tdk sembunyi shg presiden jokowi buat bela habishabisan bhw ikn ide dia bobrok proyek ikn harus bongkar,Negative
jokowi bilang ikn proyek presiden putus seluruh rakyat,Neutral
tahun jokowi travel jual ikn asia timur tengah eropa amerika australia ada satu investor global tarik ktk masa jabat udh selesai jokowi cuma hibur diri pesta dgn orang paling mahir puji dia,Negative
tanyarl misal nih lolos cpns trs ditempatin ikn domisili jabar nah karyawan baru ya ibarat nanti buat brngkat tinggal sana ada akomodasi kah,Neutral
ekonomi indonesia baikbaik massive layout web karyawan tokopedia rumah mulai juni beban negara tingkat tengah gejolak ekonomi bangun ikn perlu banyak dana realisasi janjijanji politik masa kampanye misal,Negative
gubernur ridwan kamil kritisi kembang ibu kota negara ikn kalimantan timur,Negative
nasib ikn ambisi mulyono,Neutral
poros maritim dunia revolusi industri energy mix b pusat industri baterai ev dunia ikn green and smart city,Neutral
warga sekitar ikn larang ikut upacara hoak malah warga sekitar larang dekat,Negative
sementara asn paksa transmigrasi ikn dia sendiri berlehaleha rumah m kampung solo omonomon bangun rumah segitu gede buat dia pakai dana apbn arti pakai uang pajak bayar,Negative
ada kampung ikn,Negative
hahahahahahaaaaa buru ngesahin uu ikn dlm waktu hari sekarang cabut jakarta,Negative
usai nilai operasi cara otonom saat uji coba proof of concept poc ibu kota nusantara ikn trem otonom padu tot autonomus rail transit art buat crrc qingdao sifang kembali negara asal china,Negative
progres rumah sakit nusantara ikn,Neutral
heran banget kisah wiih ikn megah banget sampai kata lihat megah ikn satu ada pamer liput video tampak ikn ada malah bumi kemah tengah hutan goblok rakyat anggap,Negative
baru tahu ikn sdh habis duit apbn trilyun coba duit banyak bangun sekolah jalan plosok rusak cipta lapang kerja pasti lbh byk manfaat,Negative
menit prabowo pidato rap sekalipun dia sebut ikn ada auto gundah gulana,Negative
kata menteri sibuk urus ikn daripada bangun rumah rakyat,Negative
pohon monas tebang tetiba buzzer bangke amp ebong jumpalit sok peduli lingkung gilir bikin ikn hutan babat pulau komodo tmpat wisata hutan kalimantan kubang ebong pd mingkem kyak silit pitek,Negative
guys kalian ada ga foto foto artikel gitu progres bangun ikn nol butuh minimal foto nol sampe buat tugas terimakasih belum,Neutral
siang terima datang anggota dewan nasihat ibu kota nusantara tony blair istana merdeka diskus tentang rencana pindah ibu kota baru minta mantan perdana menteri inggris bantu promosi ikn dunia internasional,Positive
gue kalo ekonom jahat pas apbn kepentok ya tinggal bilang ga usah bayar pajak investor beli utang negara bakal nuntut bunga lbh tinggi rating utang jelek masuk utang proyek mercusuar ikn suruh menkeu nunut politis,Negative
orang madura tarik tinggal ikn,Positive
lha orang ngetawain ikn,Negative
teman teman kaltim wilayah kalimantan apakah ada demo tolak ikn sebar org org ingin orang kalimantan maju sejahtera tahu telah majelis adat dayak nasional para sultan ada kalimantan,Neutral
milih prabowo dapetnya psi jokowi anak jokowi ipar jokowi mantu jokowi anak jokowi ketua psi baliho psi muchdi pr ade armando titiek soeharto golkar wadas omnibus cilaka firli rempang bahlil bukit algoritma budiman pindah ikn ite jilid,Negative
turut kalian argumen pro pindah ikn sisi geografi tolong bantuin sender buat tugas geo udh cari gogle engga nemu ada argumen kontra doang,Neutral
guys aku pgn daftar cpns tahun coba ikn krna wilayah sender pasti udh rame minat sender org kaltim kok tpi tes gmna yah harus ikn wilayah masing ksna dlu bru tes ada temen biaya huhu,Neutral
hari istana negara lantik bambang susantono dhony rahajoe kepala wakil kepala otorita ibu kota nusantara dua kerja bersamasama bangun ikn ibu kota refleksi kota indonesia masa depan selamat kerja,Positive
ges tolong kalo ada anggota paskibraka pusat tadi tugas ikn live info sender ken nanya about seleksi capaska,Neutral
gedung dpr mpr ketika ibukota pindah ikn,Neutral
pramono tanya rk kait wacana pindah balai kota jakarta pramono singgung imajinasi kemudian balas rk bicara ikn detikpilkada pilkadajakarta,Neutral
kawasan ibu kota nusantara milik pusat latih dukung persepakbolaan indonesia ikn bangun tidak delapan lapang sepak bola harap selesai satu tahun bangun lapang sepak bola ikn biaya fifa,Positive
luhut sebut biaya milu besar perlu tunda kok ikn telan rp t jalan,Negative
serius nanya kota kalian antri bbm antri panjang sampe badan jalan ga sampe timbul macet tiap antri pertalite paling engga harus ngeluangin waktu tengah jam buat antri panjang ya jam pertamax pun antri efek ada ikn banget,Negative
duduk lingkar sekitar titik nol ibu kota nusantara siang tadi dengar para tokoh adat agama tempat para tokoh adat harap bangun ikn kena infrastruktur kembang sumber daya manusia kalimantan,Neutral
belum kah masa ikn keren skr,Neutral
punya dukung selain datang bayar fasilitas omonomon biaya angkut influencer ikn bayar pakai uang pajak rakyat ya iya ikhlas,Negative
ujungujungnya potong potong dapat rakyat terhimpit butuh harga naik kenapa sih ngotot bangun ikn,Negative
whoa this is bold ditwit akun resmi presiden padahal artikel bahas ragu ikn tumbuh ekonomi meleset kkn mahkamah keluarga bahkan tutup kasih tanda tanya besar apakah ikn jawab skeptisme publik gajah putih tengah hutan,Negative
rencana upacara annya bakal ada tempat jakarta ikn ikn ada jokowi prabowo jakarta ada pak ma aruf gibran nanti ikut upacara ikn engga nginep nanti pp pulang pergi datengupacarapulang gokil,Neutral
jawab om bule ketika suruh minta maaf simak nih woiiii lopar lapor lapar ombule maxivalerio ikn koruptor nepotisme,Negative
tom lembong tantang perintah buka satu per satu investasi ikn bahlil nggak boleh bongkar,Neutral
prabowo pindah ibu kota jakarta ikn,Neutral
stravenues kalo tadi ada ketawa imajinasi lah ikn awal imajinasi lah kira orangorang ga ngetawain ikn wkwkkwk,Neutral
belum nyampe ikn foto dulu,Neutral
anies baswedan dana bangun ikn kenapa nggak bayar tenaga honorer guru urgent,Neutral
tanya balas tanya balas nanyanya malah bikin bingung sang anak smk tanya gibran motivasi buat anak muda jadi tamu daerah sendiri malah tanya balik libat pas buat masterplan iknvideo amp pas anak smk nanya,Negative
fraksi pks tolak rancang undangundang atur pindah ibu kota negara ikn jakarta najam paser kalimantan timur,Negative
wuuiiihhh gubernur doa orang tdk tuju ikn pendek umur mari doa beliau panjang umur saksi gagal ikn,Negative
jokowi aku belum ada investor asing masuk ikn,Negative
gua siap awal tagih janji makan siang gratis fk baru juta loker kota baru juta rumah pabrik ponsel rs modern tiap kota lanjut ikn ribu beasiswa milyar per desa,Neutral
mepet ajg bongkar ikn jual rongsok kepul kalo bu,Negative
pantes menang ada dia kata ikn,Negative
kembali jangan balik kereta rel ikn bakal kembali china kenapa,Negative
tolak ikn bangun kota level jakarta,Negative
pagi cerah ibu kota nusantara atas bukit lihat jelas suasana bangun ibu kota nusantara bangun diri infrastruktur kota kebut sama beberapa menteri kepala otorita ikn hari dua kunjung ikn,Positive
adu dapat kena pindah balai kota jakarta rk bawabawa ikn kait imajinasi lalu balas pramono sebut diri libat proses awal pindah ibu kota indonesia detikpilkada pilkadajakarta,Neutral
ppn kado pisah jokowi biar rakyat jelata banyak mati lapar ambisi ikn buat sengsara jt duduk indonesia semua dukung menkeu sri mulyani mulyono kena karma dulu dia sindir sby hambalang depan ikn bakal mangkrak,Negative
bahlil rahasia daftar investasi ikn ekonom harus transparan libat apbn,Neutral
biaya ikn triliun biaya pltn triliun biaya plts cirata triliun biaya satu pltn bangun plts cirata seluruh indonesia pltn mahal bahaya lama,Negative
istana garuda ikn kritik nyoman nuarta baru bikin ruko usah omong,Negative
itsnews dukung transportasi lanjut alumnus its inovasi desain kereta bandara surabaya november penuh aspek transportasi rupa salah satu hal perlu perhati bangun kota baru ibu kota nusantara ikn,Positive
akses jalan tuju ikn amblas duga struktur jalan kuat tahan beban truk muat besar,Negative
pantes ikn amp mindahin balaikota koja diketawain,Negative
warga sekitar larang ikut upacara hut ri ikn pemprov kaltim sedia live streaming,Neutral
ikn imajinasi wacana imajinasi selamat datang dunia halusinasi eh imajinasi maap kadang emang beda tipis,Negative
ikn butuh aksi nyata orang tinggal sana puja puji dunia maya saran bagi senang puja puji pindah ksana bawa keluarga hidup sana klw medsos doang omon omon guna ikn,Negative
kereta rel otonom ibu kota nusantara ikn autonomous rail transit art kembali china alas detikcom,Negative
ngibulnya banget opung nyerah ikn,Negative
awal emang peluang menang pak anies kecil tetap coblos sekali nyesal nyoblos juang panjang selamat pak prabowo mas gibran para dukung lancarlancar bangun ikn makan siang gratis,Neutral
tolak ahok mentahmentah koalisi pemuda ikn harus pimpin putra daerah,Negative
anggar bangun ikn potong jokowi ingin cepat mantan gemas,Negative
proyek landas pacu runway bandara internasional nusantara bandara ibu kota nusantara ikn selesai desember lt bandaraikn ikn,Neutral
ada bilang ganjar presiden maka dia batal ikn bangun jokowi hei keset welcome ganjar taat uu ga mungkin dia batal ikn lindung uu ikn hari ganjar pranowo pasti dia kantor sana jika presiden,Neutral
tingkat dulu tax rationya stop ikn n proyek mercusuar lain baru naikin ppn,Negative
bahlil aku investasi asing belum masuk ikn,Neutral
bacot lu pikir nih negara bikin krbijakan perlu masyarakat ikn waktu abis pandemik lu tau gayus tau rafael alun bacot lu,Negative
paksa roboh rumah langgar rtrw ikn warga kampung tua sabut kaltim pernah sosialisasi,Negative
bpk presiden yth pernyataab bhw ikn sdh ovesubscribed arti bpk sdg proses jual asset negara bpk jual berapa harga bpk tawar calon bel dasar hukum wenang jual tsb,Negative
masjid negara ikn habis rp miliar kapasitas tengah istiqlal rp miliar,Neutral
camping ikn dah selesai antri migor lanjut mas jokowi presiden gih urus tu minyak goreng jangan serah kepada tri asal nyeplak wong ndak kerja,Negative
cuma ingat kang ridwankamil hampir bulan loh apakah ikn jakarta,Neutral
seluruh masyarakat indonesia cinta pindah ibu kota negara nusantara sekadar pindah asn bangun gedunggedung perintah pindah ikn lompat laku transformasi bangsa tuju indonesia maju,Positive
bahlil buka data investor ikn ekonom justru muncul curiga,Negative
bilang investor ikn masuk ikn gibrantweet jawab kemarin fakta amp bijak langit akhir jarum amp wing group keluar konsorsium investor ikn ha ha ha,Negative
menteri pupr basuki mahal benah jakarta ketimbang bangun ikn,Neutral
kepala otorita ibu kota nusantara basuki hadimuljono ungkap jumlah arah presiden prabowo subianto kait ikn salah satu arah beri presiden prabowo arah bangun bagi jadi dua yaitu tahun tahun ikn,Neutral
nah bilang waktu kasih opini ttg ikn kalian habishabisan serang tahu ngga tolak ikn jauh cinta rakyat kalimantan daripada jilat penghalu pukau dg omong nggedabrus si bohong,Negative
kira proyek ikn mangkrak spt proyek lain tdk awal dg study layak sila publik catat mention mention bhw mbl esemka adlh bohong mention bhw ka cepat tdk laik tdk layak serta jalan tol rugi,Negative
breakingnews kepala otorita ikn bambang susantonomengundurkan diri jabat dua bulan jelang rencana jokowimenggelar upacara ingat hut ri ikn wakil oikn donny rahajoe turut undur diri,Neutral
kemenhub klaim bahwa negara rugi jika proyek kereta rel art ikn henti kembali china ujicoba art tvone,Neutral
wisata ikn,Neutral
moga rakyat tdk lupa saat china minta buat rencana kereta api cepat jakarta bandung akhir jadi beban seluruh rakyat skrg ikn beri china,Negative
arti benar ya semua kacau zaman pandemi sengaja tutup isu tiga periode kenapa ingin tiga periode takut ikn selesai,Negative
awal hari kantor ikn energi pola pikir semangat baru langkah awal beri harap peluang baru masa depan indonesia jauh baik,Positive
makan mie ribu ngabisin triliun apbn buat kcic ikn,Negative
kangen mas bojo ndang mulih ngko masakin teh dinas ng ikn,Neutral
softbank mundur proyek ikn investasi usd miliar gagal masuk ri,Negative
wkwkw salut orang indonesia tahan punya presiden nggak jelas kayak urgensi relevansi coba bawabawa seleb ikn duit negara semua pasti kata jilat psi,Negative
senin deh tunggu ak pulang dri ikn dlu,Neutral
ikn kaltim potensi banjir tengah maret brin jangan kaget ikn mulai rendam,Negative
kok kampanye kalimantan diri ikn bos,Negative
megaproyek ikn alami sesuai waktu selesai timbang program prioritas lain perintah presiden prabowo,Neutral
protes warga dayak hadap otorita ikn paksa rumah wilayah ikn bongkar waktu hari,Negative
tanam pohon beringin ficus benjamina kawasan istana presiden ibu kota nusantara pagi tanam beringin kembar pohon simbol agung harap tanamantanaman,Positive
nyata keras fahri hamzah ikn tdk ada manfaat bagi rakyat amp konsep matang kini demi kuasa dia gadai akal sehat,Negative
bulan november tepat bulan telah hari merdeka ri ibu kota nusantara tampak tunjuk progres tampak bangunanbangunannya makin kokoh kembang video rona marina ronamarina jurnalis,Positive
lamalama ikn lihat kota ghoib maju saranjana canggih keren banget lah,Positive
lalu ikn mangkrak mulyono keluarga harus ganti rugi negara akibat mimpi halu mulyono,Negative
hari terima para ketua umum organisasi mahasiswa kelompok cipayung plus yakni hmi gmki pmii pmkri kmhdi imm hikmahbudhi lmnd pii hima persis kammi gmni diskus tentang,Neutral
alokasi anggar bangun ikn potong jokowi kata presiden prabowo telah tegas bangun ikn cepat,Neutral
alhamdulillah tadi nikmat suasana pagi sambil sarap rebus sukun goreng gelas teh hangat ibu kota nusantara ikn provinsi kalimantan timur jumat maret terima kasih,Positive
hiruk pikuk pilkada kabar ikn riwayat dulu pemujacinta bleketetet ssd rikiaiza doktortasawur tanhaka aryalvin,Neutral
calon presiden capres nomor urut anies baswedan tegas nyata jika diri pilih presiden maka bangun ikn kaji ulang hal mula saat anies minta pilih ibu kota baik jakarta ikn lokasi kabupaten,Neutral
dpr ogah pindah ikn tetap jakarta prabowo ogah pindah ikn tetap jakarta jokowi ogah pindah ikn malah pilih mulih solo lha ikn iki dinggo sopoooo,Negative
bangun ibu kota nusantara ikn ingin cipta perata ekonomi perata duduk tumbuh titiktitik tumbuh ekonomi baru banyak persen produk domestik bruto pdb ekonomi indonesia dapat pulau jawa bangun ikn,Neutral
tiktok banyak postingan komen siap dukung berita stanford ikn ok gas,Neutral
aku awam nih tahun depan rakyat tengah bawah patungan buat ikn program makan gratis yah luar biasa,Positive
kalo kek gw goes sampe ikn,Neutral
kereta rel ikn kembali china teknologi masalah,Negative
udah makin nyata aj hunger games hutan gusur demi bikin ikn pake baju adat tiap agustus cuma buat ceremony tnpa beneran ngelindungi masy adat tiap prov keruk sda jual buat kaya sndiri,Negative
participamos en la inauguracin del evento cybersecurityidentification organizado por iknspain donde hablamos sobre la directiva nis y el reglamento dora estas normativas buscan dar una respuesta a las ciberamenazas y garantizar la defensa ante ciberataques,Neutral
trem otonom ikn dulu promosi cina kini kembali,Neutral
halo sobatnusantara otorita ibu kota nusantara ikn umum hasil seleksi seleksi kompetensi cpns otorita ikn tahun anggar,Neutral
harga obligasi naik maka harga obligasi naik utama perintah cermat ambil untung beli saham ikn kek beli saham garuda kek,Positive
onielity goes to ikn mah topi doang conieljkt ayk kalimantan lagi,Neutral
orang hidup penuh dgn masalah jateng takut banteng jakarta takut fpi ikn takut warga daya,Negative
ikn makin cantik,Positive
tanda mangkrak ga seh guys kereta otonom rel ikn bakal kembali china,Negative
gera bawa baki bendera hut ri ikn sebut abal-abal warganet malu nontonnya,Negative
jokowi minta china bantu desain ikn ini bukti nyata bahwa wilayah memang sdh serah tiongkok lah tentu detail design supaya sesuai dgn ingin,Negative
karya seni memang sulit debat gantung selera boleh dong nanya garuda ikn pakem,Neutral
pj bupati ppu minta ganggu proyek ikn,Neutral
seluruh gubernur hadir titik nol ikn nusantara bawa tanah air daerah masing-masing acara jadi tonggak sejarah bangun ikn,Positive
susul softbank dua konsorsium kabar ikut mundur investasi ikn nusantara,Negative
hasil tipu tol bangkrut bumn ka cepat kena jebak china ikn jual negara,Negative
